date, course, instructor
2/19/2022, Programming Foundations: APIs and Web Services, Kesha Williams
2/23/2022, Building RESTful APIs with Flask, Bruce Van Horn
3/1/2022, Learning Python with PyCharm, Mehdi Oulmakki
3/2/2022, Learning REST APIs, Morten Rand-Hendriksen
3/3/2022, HTTP Essential Training, Morten Rand-Hendriksen
3/17/2022, Python Essential Training, Bill Weinman
3/22/2022, Programming Foundations: Object-Oriented Design, Olivia Chiu Stone and Barron Stone
3/29/2022, Python Object-Oriented Programming, Joe Marini
4/1/2022, Unit Testing and Test Driven Development in Python, Richard Wells
4/13/2022, Python Parallel and Concurrent Programming Part 1, Olivia Chiu Stone and Barron Stone
